"interacting_pair_new","id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","Pathway","cellpair","significant"
"A6NMZ7:integrin_a10b1_complex","CPI-SC0E03C13D1","COL6A6_integrin_a10b1_complex","simple:A6NMZ7","complex:integrin_a10b1_complex","COL6A6","","True","False","False","curated","True","Cell adhesion","Lung_pul_smc|Lung_pul_ven_ec",TRUE
"A6NMZ7:integrin_a2b1_complex","CPI-SC00D0AFED0","COL6A6_integrin_a2b1_complex","simple:A6NMZ7","complex:integrin_a2b1_complex","COL6A6","","True","False","False","curated","True","Cell adhesion","Lung_pul_smc|Lung_pul_ven_ec",TRUE
"atRetinoicAcid_byALDH1A1:Q92753","CPI-CS08EE9E5CE","atRetinoicAcid_byALDH1A1_RORB","complex:atRetinoicAcid_byALDH1A1","simple:Q92753","","RORB","True","False","True","curated","False","Retinoic acid","Brain_brain_art_ec|Brain_brain_art_smc",TRUE
"atRetinoicAcid_byALDH1A1:Q92753","CPI-CS08EE9E5CE","atRetinoicAcid_byALDH1A1_RORB","complex:atRetinoicAcid_byALDH1A1","simple:Q92753","","RORB","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARA","CPI-CC0010C54C6","atRetinoicAcid_byALDH1A1_RAreceptor_RARA","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARA","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARA_RXRA","CPI-CC048F01E8D","atRetinoicAcid_byALDH1A1_RAreceptor_RARA_RXRA","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARA_RXRA","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARB","CPI-CC06F5021B7","atRetinoicAcid_byALDH1A1_RAreceptor_RARB","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARB","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARB_RXRB","CPI-CC036F9AC3C","atRetinoicAcid_byALDH1A1_RAreceptor_RARB_RXRB","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARB_RXRB","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARG","CPI-CC065AB1F5E","atRetinoicAcid_byALDH1A1_RAreceptor_RARG","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARG","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RXRA","CPI-CC0A31C8D8B","atRetinoicAcid_byALDH1A1_RAreceptor_RXRA","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RXRA","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_uterine_pc",TRUE
