celltype	microenvironment
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_brain_ven_ec	Brain
Brain_brain_ven_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
Brain_blood_brain_barrier_ec	Brain
