"interacting_pair_new","id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","Pathway","cellpair","significant"
"atRetinoicAcid_byALDH1A1:Q92753","CPI-CS08EE9E5CE","atRetinoicAcid_byALDH1A1_RORB","complex:atRetinoicAcid_byALDH1A1","simple:Q92753","","RORB","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_cap_pc_endom",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARA","CPI-CC0010C54C6","atRetinoicAcid_byALDH1A1_RAreceptor_RARA","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARA","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_cap_pc_endom",TRUE
"atRetinoicAcid_byALDH1A1:RAreceptor_RARB","CPI-CC06F5021B7","atRetinoicAcid_byALDH1A1_RAreceptor_RARB","complex:atRetinoicAcid_byALDH1A1","complex:RAreceptor_RARB","","","True","False","True","curated","False","Retinoic acid","Uterus_endometrium_cap_ec|Uterus_cap_pc_endom",TRUE
"atRetinoicAcid_byALDH1A2:RAreceptor_RARA","CPI-CC0C61DFEC5","atRetinoicAcid_byALDH1A2_RAreceptor_RARA","complex:atRetinoicAcid_byALDH1A2","complex:RAreceptor_RARA","","","True","False","True","curated","False","Retinoic acid","Large_intestine_art_ec_1|Large_intestine_art_smc",TRUE
"atRetinoicAcid_byALDH1A2:RAreceptor_RARA_RXRA","CPI-CC03C7C010D","atRetinoicAcid_byALDH1A2_RAreceptor_RARA_RXRA","complex:atRetinoicAcid_byALDH1A2","complex:RAreceptor_RARA_RXRA","","","True","False","True","curated","False","Retinoic acid","Large_intestine_art_ec_1|Large_intestine_art_smc",TRUE
"atRetinoicAcid_byALDH1A2:RAreceptor_RXRA","CPI-CC0B7C148C8","atRetinoicAcid_byALDH1A2_RAreceptor_RXRA","complex:atRetinoicAcid_byALDH1A2","complex:RAreceptor_RXRA","","","True","False","True","curated","False","Retinoic acid","Large_intestine_art_ec_1|Large_intestine_art_smc",TRUE
"Cholesterol_byCEL:P35398","CPI-CS06A0713BD","Cholesterol_byCEL_RORA","complex:Cholesterol_byCEL","simple:P35398","","RORA","True","False","True","curated","False","Cholesterol","Pancreas_cap_pc|Pancreas_cap_ec",TRUE
"Cholesterol_byCEL:P35398","CPI-CS06A0713BD","Cholesterol_byCEL_RORA","complex:Cholesterol_byCEL","simple:P35398","","RORA","True","False","True","curated","False","Cholesterol","Pancreas_cap_ec|Pancreas_cap_pc",TRUE
"Cholesterol_byDHCR7:P35398","CPI-CS06C6527F4","Cholesterol_byDHCR7_RORA","complex:Cholesterol_byDHCR7","simple:P35398","","RORA","True","False","True","curated","False","Cholesterol","Uterus_endometrium_cap_ec|Uterus_cap_pc_endom",TRUE
"Cholesterol_byLIPA:P35398","CPI-CS0406B0B69","Cholesterol_byLIPA_RORA","complex:Cholesterol_byLIPA","simple:P35398","","RORA","True","False","True","curated","False","Cholesterol","Muscle_art_ec_2|Muscle_art_smc",TRUE
"Cholesterol_byLIPA:P35398","CPI-CS0406B0B69","Cholesterol_byLIPA_RORA","complex:Cholesterol_byLIPA","simple:P35398","","RORA","True","False","True","curated","False","Cholesterol","Heart_ven_ec_1|Heart_ven_smc_pc",TRUE
"Cholesterol_byLIPA:P35398","CPI-CS0406B0B69","Cholesterol_byLIPA_RORA","complex:Cholesterol_byLIPA","simple:P35398","","RORA","True","False","True","curated","False","Cholesterol","Bladder_ven_ec_1|Bladder_ven_smc_pc",TRUE
