celltype	microenvironment
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_ven_smc_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_cap_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_ven_smc_pc	Muscle
Muscle_art_smc	Muscle
Muscle_ven_smc_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_ven_smc_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_ven_smc_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_ven_smc_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_cap_pc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
Muscle_art_smc	Muscle
