,source,target,aerocyte_ec,pul_art_ec,pul_cap_ec,pul_tip_cap_ec,pul_ven_ec
0,FOXF1(+),TBX3,1.0,0.0,0.0,0.0,0.0
1,FOXF1(+),OCLN,1.0,0.0,0.0,0.0,0.0
2,FOXF1(+),RCSD1,1.0,0.0,0.0,0.0,0.0
3,FOXF1(+),PRX,0.5,0.0,0.5,0.0,0.0
4,FOXF1(+),ITGA3,1.0,0.0,0.0,0.0,0.0
5,FOXF1(+),HPGD,0.5,0.0,0.5,0.0,0.0
6,FOXF1(+),FAXDC2,1.0,0.0,0.0,0.0,0.0
7,FOXF1(+),SPOCK2,1.0,0.0,0.0,0.0,0.0
8,FOXF1(+),VIPR1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
9,FOXF1(+),PLAGL1,1.0,0.0,0.0,0.0,0.0
10,FOXF1(+),FOXF1,0.25,0.25,0.25,0.25,0.0
11,FOXF1(+),STXBP6,0.5,0.0,0.5,0.0,0.0
12,FOXF1(+),EDNRB,1.0,0.0,0.0,0.0,0.0
13,FOXF1(+),PRKCE,0.5,0.0,0.5,0.0,0.0
14,FOXF1(+),ACE,0.5,0.5,0.0,0.0,0.0
15,FOXF1(+),ADGRL2,0.5,0.0,0.5,0.0,0.0
16,FOXF1(+),FENDRR,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
17,FOXF1(+),IL1RL1,1.0,0.0,0.0,0.0,0.0
18,FOXF1(+),TMEM100,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
19,FOXF1(+),SLC6A4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
20,FOXF1(+),ADRB1,0.5,0.0,0.5,0.0,0.0
21,FOXF1(+),AFF3,1.0,0.0,0.0,0.0,0.0
22,FOXF1(+),RNF144B,0.0,1.0,0.0,0.0,0.0
23,FOXF1(+),SMAD6,0.0,1.0,0.0,0.0,0.0
24,FOXF1(+),DKK2,0.0,1.0,0.0,0.0,0.0
25,FOXF1(+),HILPDA,0.0,0.5,0.0,0.0,0.5
26,FOXF1(+),NPR3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
27,FOXF1(+),GJA5,0.0,1.0,0.0,0.0,0.0
28,FOXF1(+),ANKRD37,0.0,1.0,0.0,0.0,0.0
29,FOXF1(+),LINC00551,0.0,1.0,0.0,0.0,0.0
30,FOXF1(+),CLDN10,0.0,1.0,0.0,0.0,0.0
31,FOXF1(+),ARHGAP18,0.0,0.0,0.5,0.5,0.0
32,FOXF1(+),MAOA,0.0,0.0,1.0,0.0,0.0
33,FOXF1(+),SCARB1,0.0,0.0,0.0,1.0,0.0
34,FOXF1(+),CFAP20,0.0,0.0,0.0,1.0,0.0
